ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438349116,QLD,House,"1/65 Brentwood Drive, Bundamba",$400 per week,3 bedrooms,2 bathrooms,1 parking space
438353396,NSW,House,"27 Oates Avenue, Wagga Wagga",$510 per week,3 bedrooms,1 bathroom,2 parking spaces
438353380,NSW,House,"29 Gilmore Avenue, Mount Austin",$400 per week,3 bedrooms,1 bathroom,1 parking space
438353360,NSW,House,"14 Felicia Place, Blacktown",$875 per week,5 bedrooms,2 bathrooms,2 parking spaces
438353348,NSW,Studio,"Unit 25/15 Wylde St, Potts Point",$515 per week,1 bathroom,,
438353332,NSW,Unit,"3/24 Edgeware Road, Enmore",$430 pw,1 bedroom,1 bathroom,
438353324,NSW,Apartment,"10601/2a Figtree Dr, Sydney Olympic Park",$800 per week,2 bedrooms,study,2 bathrooms
438353320,NSW,House,"3A Limerick Street, Box Hill",$470,2 bedrooms,1 bathroom,
438353312,NSW,Unit,"28/108 Reserve Road, Artarmon",$750 per week,2 bedrooms,1 bathroom,1 parking space
438353304,NSW,Apartment,"204/76 Roslyn Gardens, Rushcutters Bay",$450 pw,1 bedroom,1 bathroom,
438353288,NSW,Unit,"1/4-12 Huxtable Ave, Lane Cove",$590 wk,2 bedrooms,1 bathroom,1 parking space
438353284,NSW,House,"5 Bray Street, North Sydney",$820 wk,2 bedrooms,1 bathroom,
438353280,NSW,Unit,"614/2 Waterview Drive, Lane Cove",$600 wk,1 bedroom,1 bathroom,1 parking space
438353276,NSW,Unit,"3/25 Morrison Rd, Gladesville",$530 wk,1 bedroom,1 bathroom,1 parking space
438353272,NSW,Unit,"14/36-40 Landers Road, Lane Cove",$630 wk,2 bedrooms,1 bathroom,1 parking space
438353260,NSW,House,"89a Hewitt Street, Colyton",$480 per week,2 bedrooms,1 bathroom,2 parking spaces
438353248,NSW,Townhouse,"5/3-5 McArdle Street, Ermington",$850 per week,3 bedrooms,study,3 bathrooms
438353236,NSW,Duplex/Semi-detached,"2/2 Hobart Street, East Maitland",$440 pw,2 bedrooms,1 bathroom,1 parking space
438353216,NSW,House,"31 Maeve Ave, Kellyville","$1,300 per week",5 bedrooms,3 bathrooms,3 parking spaces
438353204,NSW,House,"22 Wall Road, Gorokan",$850.00 per week,4 bedrooms,3 bathrooms,2 parking spaces
438353192,NSW,Apartment,"C1001/1-17 Elsie Street, Burwood",$950 pw,2 bedrooms,2 bathrooms,1 parking space
438353184,NSW,Apartment,"208/2-6 Good Street, Kensington",$780 Per Week,1 bedroom,1 bathroom,
438353168,NSW,House,"36 Hatherton Road, Lethbridge Park",$620 per week,3 bedrooms,1 bathroom,2 parking spaces
438353156,NSW,House,"3 Bell Street, Keiraville",$825 per week,4 bedrooms,2 bathrooms,2 parking spaces
438353148,NSW,Apartment,"245/351 George Street, Waterloo",$800 per week,1 bedroom,study,2 bathrooms
438353140,NSW,Duplex/Semi-detached,"1/5 Putland Street, St Marys",$500 per week,3 bedrooms,1 bathroom,2 parking spaces
438353132,NSW,House,"76 Maguire Drive, Cooranbong",$700.00 Per Week,4 bedrooms,2 bathrooms,2 parking spaces
438353124,NSW,Unit,"49/5 Crest Road, Queanbeyan",$320 per week,1 bedroom,1 bathroom,1 parking space
438353116,NSW,House,"6 Phillip Avenue, Mount Austin",$340 Per Week,2 bedrooms,1 bathroom,1 parking space
438353112,NSW,Unit,"12/245 Targo Road, Toongabbie",$680 Per Week,3 bedrooms,2 bathrooms,2 parking spaces
438353076,NSW,House,"40 Barclay Road, North Rocks",$800,4 bedrooms,2 bathrooms,2 parking spaces
438353072,NSW,House,"30a Fitzgerald Crescent, Blackett",$305 per week,1 bedroom,1 bathroom,1 parking space
438353060,NSW,Unit,"6/67 Louisa Road, Birchgrove",$800 pw,2 bedrooms,1 bathroom,1 parking space
438353052,NSW,Unit,"1/25 Vickers Street, Mayfield",$380 pw,1 bedroom,1 bathroom,
438353044,NSW,House,"5 The Bastion, Umina Beach",$795 Per Week,4 bedrooms,1 bathroom,1 parking space
438353028,NSW,Apartment,"1144/1 Steam Mill Lane, Haymarket","$1,050 | Bonus Study Nook",1 bedroom,1 bathroom,1 parking space
438353012,NSW,House,"99 Oxford Street, Smithfield",$500 per week,2 bedrooms,1 bathroom,2 parking spaces
438352996,NSW,House,"86 Dora Street, Blacktown",$720 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352988,NSW,House,"5a Howelston Road, Gorokan",$450,2 bedrooms,1 bathroom,2 parking spaces
438352972,NSW,Villa,"3/5 Farnell Road, Woy Woy",$440 pw,2 bedrooms,1 bathroom,1 parking space
438352956,NSW,House,"21 Woolcott Avenue, Wahroonga","$1,000 pw",4 bedrooms,1 bathroom,2 parking spaces
438352948,NSW,Apartment,"4/36 Upper Clifford Avenue, Fairlight",$680 per week,1 bedroom,1 bathroom,1 parking space
438352928,NSW,House,"65 Weston Street, Panania",$550 pw,2 bedrooms,1 bathroom,1 parking space
438352896,NSW,House,"37 Brooks Street, Cooks Hill",$750 pw,3 bedrooms,2 bathrooms,2 parking spaces
438352892,NSW,House,"41 Fuchsia Cres, Quakers Hill",$899 per week,4 bedrooms,3 bathrooms,3 parking spaces
438352876,NSW,House,"37 Saltwater Crescent, Kingscliff","$1,200 per week",4 bedrooms,2 bathrooms,4 parking spaces
438352840,NSW,Unit,"6/22A Amy Street, Regents Park",$450 pw,2 bedrooms,1 bathroom,1 parking space
438352816,NSW,Apartment,"CG26/12 Hudson Street, Lewisham",$880,2 bedrooms,2 bathrooms,1 parking space
438352804,NSW,House,"184 - 186 Forsyth Street, Wagga Wagga",$350 Per Week,2 bedrooms,1 bathroom,1 parking space
